系列,货号,容量,适用平台,传输类型,Features,速度,SKU,包装,图片链接,产品品牌,产品型号,产品编号,适用对象,内存容量,插脚数目,内存频率,内存电压,延迟描述
铂胜运动 Ballistix铂胜运动台式机游戏内存条DDR3 1600 8G,BLS8G3D1609DS1S00,8GB,UDIMM,DDR3,8GB 240-pin UDIMM DDR3 1600 MT/s CL9 @1.5V,1600,M1077-0001-38,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls8g3d1609ds1s00_front_chip_010.jpg?itok=DY1Hj-YF,,,,,,,,,
铂胜运动 系列笔记本内存条DDR316004G两条装,BLS2C4G3N169ES4,4GB*2,SODIMM,DDR3,"Ballistix Sport SODIMM 204pin 4GB DDR3 1600, CASEPACK",1600,M1077-0001-52,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls2c4g3n169es4_front_chip_060.jpg?itok=e_5QjE4M,,,,,,,,,
铂胜精英 Ballistix铂胜Elite 8G DDR4 2666台式机电脑内存条游戏超频,BLE8G4D26AFEA,8GB,UDIMM,DDR4,Crucial Ballistix Elite 8GB DDR4-2666 UDIMM,2666,M1077-0016-11,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ble8g4d26afea_front_chip_0.jpg?itok=3BAJ4s5T,,,,,,,,,
Crucial 英睿达 DDR3L 1866 8G 笔记本电脑三代内存条,CT102464BF186D,8GB,SODIMM,DDR3,DDR3L PC3L-14900,1866,M1077-0016-15,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct102464bf186d_front_chip.jpg?itok=WSCfmGBg,,,,,,,,,
Crucial 英睿达 DDR4 2400 8G笔记本电脑四代内存条,CT8G4SFS824A,8GB,SODIMM,DDR4,DDR4 PC4-19200,2400,M1077-0016-25,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4sfs824a_chip_front_0.jpg?itok=Xh0Nkko-,,,,,,,,,
Crucial 英睿达 DDR4 2133 8G 笔记本内存条,CT8G4SFD8213,8GB,SODIMM,DDR4,DDR4 PC4-17000,2133,M1077-0016-01,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4sfd8213_chip_front.jpg?itok=ei-bFlB_,,,,,,,,,
Crucial 英睿达 DDR4 2400 8G两条装 笔记本电脑四代内存条,CT2C8G4SFS824A,8GB*2,SODIMM,DDR4,DDR4 PC4-19200,2400,M1077-0016-05,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4sfs824a_front_chip.jpg?itok=GTmzuEnL,,,,,,,,,
Crucial 英睿达 DDR4 2133 8G两条装台式机内存条,CT2C8G4DFS8213,8GB*2,UDIMM,DDR4,DDR4 PC4-17000,2133,M1077-0016-04,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c8g4dfs8213_front_chip.jpg?itok=6G9in1ci,,,,,,,,,
Crucial 英睿达 DDR4 2400 8G两条装台式机内存条,CT2C8G4DFD824A,8GB*2,UDIMM,DDR4,DDR4 PC4-19200,2400,M1077-0016-02,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c8g4dfd824a_ftont_chip.jpg?itok=Co3jnizG,,,,,,,,,
铂胜智能 Ballistix铂胜智能系列台式内存条DDR4 2666 8G,BLT8G4D26AFTA,8GB,UDIMM,DDR4,Crucial Ballistix Tactical 8GB DDR4-2666 UDIMM,2666,M1077-0016-13,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt8g4d26afta_chip_front_1.jpg?itok=ZiRPsHGU,,,,,,,,,
铂胜智能 Ballistix铂胜智能台式机游戏内存条黄马甲DDR3 1866 8G,BLT8G3D1869DT1TX0,8GB,UDIMM,DDR3,Crucial Ballistix Tactical 8GB DDR3-1866 UDIMM,1866,M1077-0016-17,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt8g3d1869dt1tx0_chip_front_1.jpg?itok=TKMYE0rz,,,,,,,,,
铂胜智能 Ballistix铂胜智能系列台式内存DDR4 2666 8G两条,BLT2C8G4D26AFTA,8GB*2,UDIMM,DDR4,Crucial Ballistix Tactical 16GB Kit (8GBx2) DDR4-2666 UDIMM,2666,M1077-0016-12,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt2c8g4d26afta_chip_front_0.jpg?itok=H99b600p,,,,,,,,,
铂胜运动 游戏内存条8G DDR4 2400台式机电脑8g白条,BLS8G4D240FSC,8GB,UDIMM,DDR4,Crucial Ballistix Sport LT White 8GB DDR4-2400 UDIMM ,2400,M1077-0016-26,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls8g4d240fsc_chip_front.jpg?itok=6cN6AWCq,,,,,,,,,
铂胜运动 Ballistix铂胜运动系列 8G DDR3 1866台式机电脑内存条游戏条,BLS8G3D18ADS3,8GB,UDIMM,DDR4,Crucial Ballistix Sport 8GB DDR3-1866 UDIMM,1866,M1077-0016-16,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls8g3d18ads3_chip_front_0.jpg?itok=X4zESR-O,,,,,,,,,
铂胜运动 游戏内存条4G DDR4 2400台式机电脑4g白条,BLS4G4D240FSC,4GB,UDIMM,DDR4,Crucial Ballistix Sport LT White 4GB DDR4-2400 UDIMM,2400,M1077-0016-29,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls4g4d240fsc_chip_front_0.jpg?itok=Z4XcfszW,,,,,,,,,
铂胜运动 游戏内存条8G两条装超频2400台式机DDR4白条,BLS2C8G4D240FSC,8GB*2,UDIMM,DDR4,Crucial Ballistix Sport LT White 16GB Kit (8GBx2) DDR4-2400 UDIMM,2400,M1077-0016-27,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls2c8g4d240fsc_chip_front.jpg?itok=F2TARemS,,,,,,,,,
铂胜运动 Ballistix铂胜台式内存DDR4 2400 8G两条装,BLS2C8G4D240FSB,8GB*2,UDIMM,DDR4,Crucial Ballistix Sport LT 16GB Kit (8GBx2) DDR4-2400 UDIMM,2400,M1077-0016-08,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls2c8g4d240fsb_chip_front_0.jpg?itok=9TMt3UB8,,,,,,,,,
铂胜运动 Ballistix铂胜台式内存DDR4 2400 8G两条装,BLS2C8G4D240FSA,8GB*2,UDIMM,DDR4,Crucial Ballistix Sport 16GB kit (8GBx2) DDR4-2400 UDIMM,2400,M1077-0016-06,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls2c8g4d240fsa_chip_front_0.jpg?itok=Q1osPReR,,,,,,,,,
铂胜运动 游戏内存条4G两条装超频2400台式机DDR4,BLS2C4G4D240FSC,4GB*2,UDIMM,DDR4,Crucial Ballistix Sport LT White 8GB Kit (4GBx2) DDR4-2400 UDIMM ,2400,M1077-0016-28,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls2c4g4d240fsc_chip_front_0.jpg?itok=1Y9YnM5I,,,,,,,,,
铂胜精英 Ballistix铂胜台式内存DDR3 2133 8G,BLE8G3D21BCE1,8GB,UDIMM,DDR3,Crucial Ballistix Elite 8GB DDR3-2133 UDIMM,2133,M1077-0016-18,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ble8g3d21bce1_chip_front.jpg?itok=EtRE_kTG,,,,,,,,,
铂胜精英 Ballistix台式内存DDR4 2666 8G两条装,BLE2C8G4D26AFEA,8GB*2,UDIMM,DDR4,Crucial Ballistix Elite 16GB Kit (8GBx2) DDR4-2666 UDIMM,2666,M1077-0016-10,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ble2c8g4d26afea_chip_front.jpg?itok=cOaAwXkk,,,,,,,,,
Crucial 英睿达 DDR4 2133 8G 笔记本内存条,CT8G4SFS8213,8GB,SODIMM,DDR4,DDR4 PC4-17000,2133,M1077-0016-20,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4sfs8213_pak_front.jpg?itok=R4tKAX1F,,,,,,,,,
Crucial 英睿达 低电压 DDR4 2400 8G 台式机内存条,CT8G4DFS824A,8GB,UDIMM,DDR4,DDR4 PC4-19200,2400,M1077-0016-23,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4dfs824a_pak_front.jpg?itok=bPec9QX5,,,,,,,,,
Crucial 英睿达 DDR4 2133 8G 台式机内存条,CT8G4DFS8213,8GB,UDIMM,DDR4,DDR4 PC4-17000,2133,M1077-0016-24,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4dfs8213_pac_front.jpg?itok=5ifqmW55,,,,,,,,,
Crucial 英睿达 DDR4 2400 8G台式机内存条,CT8G4DFD824A,8GB,UDIMM,DDR4,DDR4 PC4-19200,2400,CT8G4DFD824A,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g4dfd824a_front_pkg.jpg?itok=t5hoQsTN,,,,,,,,,
Crucial 英睿达 低电压 DDR4 2133 8G两条装 笔记本内存条,CT2C8G4SFS8213,8GB*2,SODIMM,DDR4,DDR4 PC4-17000,2133,CT2C8G4SFS8213,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c8g4sfs8213_pak_front.jpg?itok=QoSLRiNy,,,,,,,,,
Crucial 英睿达 内存条16G DDR4 2400台式机电脑8G两条装,CT2C8G4DFS824A,8GB*2,UDIMM,DDR4,DDR4 PC4-19200,2400,M1077-0016-22,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c8g4dfs824a_pak_front.jpg?itok=h9dkuoHW,,,,,,,,,
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2cp51264bf160b_front_pkg_087_0.jpg?itok=dQK02v0B,Crucial英睿达,"4GB*2, 204-pin SODIMM, DDR3 PC3-12800",CT2CP51264BF160B,笔记本,8GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2cp51264ba160b_front_pkg_079_0.jpg?itok=rpivFbp4,Crucial英睿达,"4GB*2, 240-pin DIMM, DDR3 PC3-12800",CT2CP51264BA160B,台式电脑,8GB,240-pin DIMM,1600MHz,1.5V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c8g3s160bm_front_pkg_061.jpg?itok=aF5ktHgF,Crucial英睿达,"8GB*2, 204-pin SODIMM, DDR3 PC3-12800",CT2C8G3S160BM,笔记本,16GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c4g3s160bm_front_pkg_066.jpg?itok=w7gCOJ_E,Crucial英睿达,"4GB*2, 204-pin SODIMM, DDR3 PC3-12800",CT2C4G3S160BM,笔记本,8GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-10600MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c4g3s1339m_front_pkg_075.jpg?itok=bTFKSbdf,Crucial英睿达,"4GB*2, 204-pin SODIMM, DDR3 PC3-10600",CT2C4G3S1339M,笔记本,8GB,204-pin SODIMM,1333MHz,1.35V,CL=11
,,,,DDR3 PC3-10600MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct4g3s1339m_back_chip_036_0.jpg?itok=0gi-Udxk,Crucial英睿达,"4GB, 204-pin SODIMM, DDR3 PC3-10600",CT4G3S1339M,笔记本,4GB,204-pin SODIMM,1333MHz,1.35V,CL=11
,,,,DDR3 PC3-8500MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2c4g3s1067m_front_pkg_070.jpg?itok=p4lC4iF8,Crucial英睿达,"4GB*2, 204-pin SODIMM, DDR3 PC3-8500",CT2C4G3S1067M,笔记本,8GB,204-pin SODIMM,1066MHz,1.35V,CL=7
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct8g3s160bm_8gb_ddr3_sodimm.jpg?itok=sbuzNwJt,Crucial英睿达,"8GB, 204-pin SODIMM, DDR3 PC3-12800",CT8G3S160BM,笔记本,8GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264bf160bj_crucial_4gb_ddr3_sodimm_0.jpg?itok=jhSD-gMZ,Crucial英睿达,"4GB, 204-pin SODIMM, DDR3 PC3-12800",CT51264BF160BJ,笔记本,4GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264bf160b_4gb_ddr3_sodimm.jpg?itok=pc9mb_Xl,Crucial英睿达,"4GB, 204-pin SODIMM, DDR3 PC3-12800",CT51264BF160B,笔记本,4GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264ba160bj_crucial_4gb_ddr3_dimm.jpg?itok=UmAw8nNx,Crucial英睿达,"4GB, 240-pin DIMM, DDR3 PC3-12800",CT51264BA160BJ,台式电脑,4GB,240-pin DIMM,1600MHz,1.5V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264ba160b_crucial_4gb_ddr3_dimm.jpg?itok=7fwTttyb,Crucial英睿达,"4GB, 240-pin DIMM, DDR3 PC3-12800",CT51264BA160B,台式电脑,4GB,240-pin DIMM,1600MHz,1.5V,CL=11
,,,,DDR2 PC2-6400MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264ac800_crucial_4gb_ddr2_sodimm_0.jpg?itok=nsCSJGRk,Crucial英睿达,"4GB, 200-pin SODIMM, DDR2 PC2-6400",CT51264AC800,笔记本,4GB,200-pin SODIMM,800MHz,1.8V,CL=6
,,,,DDR2 PC2-5300MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264ac667_crucial_4gb_ddr2_sodimm.jpg?itok=wqUjuvT5,Crucial英睿达,"4GB, 200-pin SODIMM, DDR2 PC2-5300",CT51264AC667,笔记本,4GB,200-pin SODIMM,667MHz,1.8V,CL=5
,,,,DDR2 PC2-5300MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct51264aa667_crucial_4gb_ddr2_dimm.jpg?itok=iVaLYIzx,Crucial英睿达,"4GB, 240-pin DIMM, DDR2 PC2-5300",CT51264AA667,台式电脑,4GB,240-pin DIMM,667MHz,1.8V,CL=5
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct4g3s160bm_4gb_ddr3_sodimm.jpg?itok=bheSKSkD,Crucial英睿达,"4GB, 204-pin SODIMM, DDR3 PC3-12800",CT4G3S160BM,笔记本,4GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-8500MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct4g3s1067m_4gb_ddr3_sodimm_0.jpg?itok=ZSJOGewn,Crucial英睿达,"4GB, 204-pin SODIMM, DDR3 PC3-8500",CT4G3S1067M,笔记本,4GB,204-pin SODIMM,1066MHz,1.35V,CL=7
,,,,DDR3 PC3-8500MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2g3s1067m_crucial_2gb_ddr3_sodimm.jpg?itok=R2rJGek6,Crucial英睿达,"2GB, 204-pin SODIMM, DDR3 PC3-8500",CT2G3S1067M,Mac,2GB,204-pin SODIMM,1066MHz,1.35V,CL=7
,,,,DDR2 PC2-6400MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2g2s800m_crucial_2gb_ddr2_sodimm.jpg?itok=WyXSGWBm,Crucial英睿达,"2GB, 200-pin SODIMM, DDR2 PC2-6400",CT2G2S800M,笔记本,2GB,200-pin SODIMM,800MHz,1.8V,CL=6
,,,,DDR2 PC2-5300MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct2g2s667m_crucial_2gb_ddr2_sodimm.jpg?itok=mYRGVb7i,Crucial英睿达,"2GB, 200-pin SODIMM, DDR2 PC2-5300",CT2G2S667M,笔记本,2GB,200-pin SODIMM,667 MHz,1.8V,CL=5
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664bf160b_crucial_2gb_ddr3_sodimm.jpg?itok=Mh8f_vKV,Crucial英睿达,"2GB, 204-pin SODIMM, DDR3 PC3-12800",CT25664BF160B,笔记本,2GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664ba160bj_crucial_2gb_ddr3_dimm.jpg?itok=QjaHdUNq,Crucial英睿达,"2GB, 240-pin DIMM, DDR3 PC3-12800",CT25664BA160BJ,台式电脑,2GB,240-pin DIMM,1600MHz,1.5V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664ba160b_crucial_2gb_ddr3_dimm.jpg?itok=gmY5ii8p,Crucial英睿达,"2GB, 240-pin DIMM, DDR3 PC3-12800",CT25664BA160B,台式电脑,2GB,240-pin DIMM,1600 MHz,1.5V,CL=11
,,,,DDR2 PC2-6400MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664ac800_crucial_2gb_ddr2_sodimm.jpg?itok=XirbXJY3,Crucial英睿达,"2GB, 200-pin SODIMM, DDR2 PC2-6400",CT25664AC800,笔记本,2GB,200-pin SODIMM,800MHz,1.8V,CL=6
,,,,DDR2 PC2-5300MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664ac667_crucial_2gb_ddr2_sodimm.jpg?itok=qmysMvlJ,Crucial英睿达,"2GB, 200-pin SODIMM, DDR2 PC2-5300",CT25664AC667,笔记本,2GB,200-pin SODIMM,667MHz,1.8V,CL=5
,,,,DDR2 PC2-6400MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664aa800_crucial_2gb_ddr2_dimm_0.jpg?itok=JOsLTwsQ,Crucial英睿达,"2GB, 240-pin DIMM, DDR2 PC2-6400",CT25664AA800,台式电脑,2GB,240-pin DIMM,800MHz,1.8V,CL=6
,,,,DDR2 PC2-5300MB/s/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664aa667_crucial_2gb_ddr2_dimm.jpg?itok=dATE3lVo,Crucial英睿达,"2GB, 240-pin DIMM, DDR2 PC2-5300",CT25664AA667,台式电脑,2GB,240-pin DIMM,667MHz,1.8V,CL=6
,,,,DDR2 PC2-8500MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664aa1067_crucial_2gb_ddr2_dimm.jpg?itok=nwT0mQ5h,Crucial英睿达,"2GB, 240-pin DIMM, DDR2 PC2-8500",CT25664AA1067,台式电脑,2GB,240-pin DIMM,1066MHz,1.8V,CL=7
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct102464ba160b_crucial_8gb_ddr3_dimm.jpg?itok=meWYH02e,Crucial英睿达,"8GB, 240-pin DIMM, DDR3 PC3-12800",CT102464BA160B,台式电脑,8GB,240-pin DIMM,1600MHz,1.5V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct102464bf160b_8gb_ddr3_sodimm.jpg?itok=aLMFWdBg,Crucial英睿达,"8GB, 204-pin SODIMM, DDR3 PC3-12800",CT102464BF160B,笔记本,8GB,204-pin SODIMM,1600MHz,1.35V,CL=11
,,,,DDR3 PC3-12800MB/s,,,,,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/ct25664bf160bj.jpg?itok=BEhCsfZ9,Crucial英睿达,"2GB, 204-pin SODIMM, DDR3 PC3-12800",CT25664BF160BJ,笔记本,2GB,204-pin SODIMM,1600MHz,1.35V,CL=11
