产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
iGame970 玩家定制,268,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,1664,,"Boost:1317MHz,base;1165MHz",7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,3DP+HDMI+DVI,8+8pin,145W,"['https://www.colorful.cn/Resource/2015/11/201511261030352840.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261030357240.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261030365830.JPG', 'https://www.colorful.cn/Resource/2015/11/201511261030331220.JPG']",是,5120x3200,4,是,是,是,2048x1536,否
七彩虹GTX970-4GD5 海外版 Top,267,GeForce® GTX 970,七彩虹系列,GeForce GTX970,28纳米,1664,,,7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DisPlayport,6+6pin,145W,"['https://www.colorful.cn/Resource/2015/06/201506241540358171.JPG', 'https://www.colorful.cn/Resource/2015/06/201506241540394987.JPG', 'https://www.colorful.cn/Resource/2015/06/201506241540399511.JPG', 'https://www.colorful.cn/Resource/2015/06/201506241540344599.JPG', 'https://www.colorful.cn/Resource/2015/06/201506241603172222.JPG']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
七彩虹GTX970-4GD5 海外版 V2,266,GeForce® GTX 970,七彩虹系列,GeForce GTX970,28纳米,1664,,,7010Mhz,4G,GDDR5,256bit,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+DP+HDMI,6+6pin,145W,"['https://www.colorful.cn/Resource/2015/03/201503110837044597.JPG', 'https://www.colorful.cn/Resource/2015/03/201503110837053177.JPG', 'https://www.colorful.cn/Resource/2015/03/201503110837064253.JPG', 'https://www.colorful.cn/Resource/2015/03/201503110837072989.JPG']",是,DVI 最高输出：2560X1600,4,是,是,否,2048x1536,否
iGame970 烈焰战神X-4GD5,265,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,1664,,"Boost:1317MHz,Base:1165MHz",7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,3DP+HDMI+DVI,8+8pin,145W,"['https://www.colorful.cn/Resource/2014/12/201412181146528924.JPG', 'https://www.colorful.cn/Resource/2014/12/201412181146536568.JPG', 'https://www.colorful.cn/Resource/2014/12/201412181146541092.JPG', 'https://www.colorful.cn/Resource/2014/12/201412181146490392.JPG']",是,DVI 最高输出：2560X1600,4,是,是,否,2048x1536,是
七彩虹GTX970 雷暴鲨-4GD5,264,GeForce® GTX 970,七彩虹系列,GeForce GTX970,28纳米,1664,,,7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DisPlayport,,145w,"['https://www.colorful.cn/Resource/2014/12/201412101434186282.JPG', 'https://www.colorful.cn/Resource/2014/12/201412101434202818.JPG', 'https://www.colorful.cn/Resource/2014/12/201412101434209682.JPG', 'https://www.colorful.cn/Resource/2014/12/201412101434197982.JPG']",是,DVI 最高输出：2560X1600,4,,是,,2048x1536,
iGame970 烈焰战神U-4GD5 HD1,263,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,1664,,"Boost:1266MHz,Base:1127MHz",7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DisPlayport,6+6pin,145W,"['https://www.colorful.cn/Resource/2014/11/201411181015230786.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181015241706.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181015247010.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181015236558.JPG']",是,DVI 最高输出：2560X1600,4,,是,,2048x1536,
iGame970 烈焰战神X-4GD5 Top,261,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,1664,,"Boost:1355MHz,Base:1203MHz",7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,3DisPlayport+HDMI+DVI,8+8pin,145w,"['https://www.colorful.cn/Resource/2014/10/201410091507303898.JPG', 'https://www.colorful.cn/Resource/2014/10/201410091507308734.JPG', 'https://www.colorful.cn/Resource/2014/10/201410091507313414.JPG', 'https://www.colorful.cn/Resource/2014/10/201410091507317470.JPG', 'https://www.colorful.cn/Resource/2014/10/201410091507295630.JPG']",是,DVI 最高输出：2560X1600,4,是,是,否,2048x1536,否
iGame970 烈焰战神U-4GD5 定制版,262,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,1664,,"Boost:1266MHz,Base:1127MHz",6500MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DisPlayport,6+6pin,145w,"['https://www.colorful.cn/Resource/2014/10/201410131054250006.JPG', 'https://www.colorful.cn/Resource/2014/10/201410131054255466.JPG', 'https://www.colorful.cn/Resource/2014/10/201410131054259522.JPG', 'https://www.colorful.cn/Resource/2014/10/201410131054263578.JPG', 'https://www.colorful.cn/Resource/2014/10/201410131054267166.JPG']",是,DVI 最高输出：2560X1600,4,,,,2048x1536,
iGame970 烈焰战神U-4GD5,260,GeForce® GTX 970,iGame系列,GeForce GTX970,28纳米,,,"Boost:1266MHz,Base:1127MHz",7010MHz,4096M,GDDR5,256BIT,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+Displayport,,,"['https://www.colorful.cn/Resource/2014/09/201409191532056376.JPG', 'https://www.colorful.cn/Resource/2014/09/201409191532059964.JPG', 'https://www.colorful.cn/Resource/2014/09/201409191532066048.JPG', 'https://www.colorful.cn/Resource/2014/09/201409191532070416.JPG', 'https://www.colorful.cn/Resource/2014/09/201409191532044364.JPG']",,DVI 最高输出：2560X1600,,,,,,
网驰GTX960-4GD5 Green V2,305,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0,DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/08/201608311540176353.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311540186337.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311540191329.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311540170893.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
iGame960 烈焰战神S-4GD5 TOP,303,GeForce® GTX 960,iGame系列,GeForce GTX960,28nm,1024,,,7010MHz,4096M,GDDR5,128bit,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/05/201605311722017426.JPG', 'https://www.colorful.cn/Resource/2016/05/201605311721499334.JPG']",是,5120x3200,4,,是,,2048x1536,
七彩虹GTX960 雷暴鲨-4GD5,302,GeForce® GTX 960,七彩虹系列,GeForce GTX960,28纳米,1024,,,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/05/201605191628187653.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191628198417.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191628202317.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191628180321.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804181004215454.jpg']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
iGame960-4GD5 DualBIOS V2,304,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1204,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/05/201605091852046525.JPG', 'https://www.colorful.cn/Resource/2016/05/201605091852054013.JPG', 'https://www.colorful.cn/Resource/2016/05/201605091852059785.JPG', 'https://www.colorful.cn/Resource/2016/05/201605091852039817.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
网驰GTX960-2GD5 WA1,300,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/uploads/AttachFile/201804181013437080.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013438016.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013438484.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013443476.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013444256.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013444412.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013446128.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181013452836.jpg']",是,5120x3200,4,,,,2048x1536,是
网驰GTX960-4GD5 WA1,301,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHZ,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/uploads/AttachFile/201804181009524064.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181009525936.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181009530148.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181009530304.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181009535296.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181009536232.jpg']",是,5120x3200,4,,,,2048x1536,是
iGame960 烈焰战神S-2GD5 V2,299,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/03/201603011654209494.JPG', 'https://www.colorful.cn/Resource/2016/03/201603011654218386.JPG', 'https://www.colorful.cn/Resource/2016/03/201603011654222442.JPG', 'https://www.colorful.cn/Resource/2016/03/201603011654203410.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
iGame960 烈焰战神U-4GD5 Top,298,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHZ,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/02/201602241731480749.JPG', 'https://www.colorful.cn/Resource/2016/02/201602241731491825.JPG', 'https://www.colorful.cn/Resource/2016/02/201602241731503369.JPG', 'https://www.colorful.cn/Resource/2016/02/201602241731458285.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
iGame960 烈焰战神U-4GD5 V4,296,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHZ,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/01/201601201703293101.JPG', 'https://www.colorful.cn/Resource/2016/01/201601201703309169.JPG', 'https://www.colorful.cn/Resource/2016/01/201601201703317749.JPG', 'https://www.colorful.cn/Resource/2016/01/201601201703281557.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
Colorful960-4GD5 海外版,297,GEFORCE 900系列,Colorful系列,GeForce GTX960,28纳米,1024,,,7010MHZ,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2016/01/201601051143266406.JPG', 'https://www.colorful.cn/Resource/2016/01/201601051143273582.JPG', 'https://www.colorful.cn/Resource/2016/01/201601051143291522.JPG', 'https://www.colorful.cn/Resource/2016/01/201601051143262350.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
网驰GTX960-2GD5 Green V2,295,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/12/201512301637202842.JPG', 'https://www.colorful.cn/Resource/2015/12/201512301637208770.JPG', 'https://www.colorful.cn/Resource/2015/12/201512301637225930.JPG', 'https://www.colorful.cn/Resource/2015/12/201512301637219846.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
网驰GTX960-4GD5 V4,290,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/Resource/2015/12/201512251505218910.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804181021035352.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181021036288.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181021037224.jpg']",是,5120x3200,4,否,是,否,2048x1536,否
网驰GTX960-4GD5 V3,291,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12.1 / OpenGL 4.4,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/12/201512251005035450.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804181019541150.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181019543178.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181019543802.jpg']",是,5120x3200,4,否,是,否,2048x1536,否
网驰GTX960-2GD5 V3,294,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/uploads/AttachFile/201804181017568652.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181017569432.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181017571148.jpg']",是,5120x3200,4,否,是,否,2048x1536,否
iGame960 烈焰战神S-2GD5,292,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/12/201512091021111900.JPG', 'https://www.colorful.cn/Resource/2015/12/201512091021124070.JPG', 'https://www.colorful.cn/Resource/2015/12/201512091021140070.JPG', 'https://www.colorful.cn/Resource/2015/12/201512091021093190.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
Colorful960-2GD5 海外版 V2,293,GEFORCE 900系列,Colorful系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/12/201512071509430120.JPG', 'https://www.colorful.cn/Resource/2015/12/201512071509436640.JPG', 'https://www.colorful.cn/Resource/2015/12/201512071509439960.JPG', 'https://www.colorful.cn/Resource/2015/12/201512071509418190.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
iGame960 玩家定制,289,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1418MHz,Base:1418MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6+6pin,120w,"['https://www.colorful.cn/Resource/2015/11/201511182157363032.JPG', 'https://www.colorful.cn/Resource/2015/11/201511182157374420.JPG', 'https://www.colorful.cn/Resource/2015/11/201511182157387680.JPG', 'https://www.colorful.cn/Resource/2015/11/201511182157394388.JPG', 'https://www.colorful.cn/Resource/2015/11/201511182157346184.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
iGame960 烈焰战神U-2GD5 V3,286,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/10/201510301429259992.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301429272628.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301429279804.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301429247512.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
iGame960 烈焰战神U-4GD5 V2,287,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1204,,"Boost:1266MHz,Base:1203MHz",7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/10/201510301419589980.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301419594192.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301420003396.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301419587640.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
iGame960 烈焰战神X-4GD5,288,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1329MHz,Base:1266MHz",7010MHz,4048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6+6pin,120w,"['https://www.colorful.cn/Resource/2015/10/201510301405291520.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301405300412.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301405304468.JPG', 'https://www.colorful.cn/Resource/2015/10/201510301405271084.JPG']",是,5120x3200,4,否,是,是,2048x1536,否
Colorful960-2GD5 海外版,284,GEFORCE 900系列,Colorful系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/09/201509090943558224.JPG', 'https://www.colorful.cn/Resource/2015/09/201509090943562436.JPG', 'https://www.colorful.cn/Resource/2015/09/201509090943568364.JPG', 'https://www.colorful.cn/Resource/2015/09/201509090943580376.JPG', 'https://www.colorful.cn/Resource/2015/09/201509090943515167.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
iGame960 烈焰战神X-2GD5 V2,285,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1342MHz,Base:1279MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6+6pin,120w,"['https://www.colorful.cn/Resource/2015/09/201509061049423997.JPG', 'https://www.colorful.cn/Resource/2015/09/201509061049426337.JPG', 'https://www.colorful.cn/Resource/2015/09/201509061049440221.JPG', 'https://www.colorful.cn/Resource/2015/09/201509061049420565.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
网驰GTX960-2GD5 Green,281,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M/4G,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/07/201507091457521782.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091457540970.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091457544402.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091457552670.JPG']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
网驰GTX960-4GD5 V2,282,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/07/201507211453295281.JPG', 'https://www.colorful.cn/Resource/2015/07/201507211453301209.JPG', 'https://www.colorful.cn/Resource/2015/07/201507211453324453.JPG', 'https://www.colorful.cn/Resource/2015/07/201507211453316185.JPG']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
网驰GTX960-4GD5,283,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/07/201507091522217076.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091522235796.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091522241100.JPG', 'https://www.colorful.cn/Resource/2015/07/201507091522248432.JPG']",是,DVI 最高输出：2560X1600,4,,是,,2048x1536,
iGame960 烈焰战神X-2GD5,280,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1291MHz,Base:1228MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6+6pin,120w,"['https://www.colorful.cn/Resource/2015/06/201506051159038786.JPG', 'https://www.colorful.cn/Resource/2015/06/201506051159042218.JPG', 'https://www.colorful.cn/Resource/2015/06/201506051159049862.JPG', 'https://www.colorful.cn/Resource/2015/06/201506051155247284.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
iGame960 烈焰战神U-4GD5,278,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHz,4096M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/04/201504031122398090.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031122421179.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031122445515.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031122367358.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
iGame960 冰封骑士Mini-2GD5,279,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Booat:1216MHz,Base:1152MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/04/201504031112581905.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031112593137.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031113003589.JPG', 'https://www.colorful.cn/Resource/2015/04/201504031112569581.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
iGame960 烈焰战神U-2GD5 V2,276,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/03/201503201710501031.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201710507427.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201710513823.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201710492451.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
七彩虹GTX960 雷暴鲨-2GD5,277,GeForce® GTX 960,七彩虹系列,GeForce GTX960,28纳米,1024,,1203MHZ,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/03/201503201634412680.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201634449028.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201634471960.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201634394896.JPG']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
iGame960 烈焰战神U-2GD5,272,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1266MHz,Base:1203MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/Resource/2015/01/201501231526030364.JPG', 'https://www.colorful.cn/Resource/2015/01/201501231526034732.JPG', 'https://www.colorful.cn/Resource/2015/01/201501231526016324.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804181048369509.jpg']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
七彩虹GTX960 CH-2GD5,273,GeForce® GTX 960,七彩虹系列,GeForce GTX960,28纳米,,,,7010MHZ,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,,,"['https://www.colorful.cn/Resource/2015/01/201501230852498351.JPG', 'https://www.colorful.cn/Resource/2015/01/201501230852508335.JPG', 'https://www.colorful.cn/Resource/2015/01/201501230852519411.JPG', 'https://www.colorful.cn/Resource/2015/01/201501230852492891.JPG']",,DVI 最高输出：2560X1600,,,,,,
网驰GTX960-2GD5,274,GeForce® GTX 960,网驰系列,GeForce GTX960,28纳米,1024,,,7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,双DVI+HDMI+DP,6pin,120w,"['https://www.colorful.cn/uploads/AttachFile/201805021431535330.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805021432124558.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805021432189767.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805021432267455.JPG']",是,DVI 最高输出：2560X1600,4,否,是,否,2048x1536,否
iGame960 烈焰战神X-2GD5 Top,275,GeForce® GTX 960,iGame系列,GeForce GTX960,28纳米,1024,,"Boost:1342MHz,Base:1279MHz",7010MHz,2048M,GDDR5,128B,PCI-E X16(3.0),DirectX 12 / OpenGL 4.5,DVI+HDMI+3DP,6+6pin,120w,"['https://www.colorful.cn/uploads/AttachFile/201804181043356207.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181043358391.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181043443100.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804181043443880.JPG']",是,DVI 最高输出：2560X1600,4,否,是,是,2048x1536,否
七彩虹GTX950 灵动鲨-Twin-2GD5,331,GeForce® GTX 950,七彩虹系列,GeForce GTX950,28纳米,768,,,6610MHz,2048M,GDDR5,128 bit,PCI-E X16 3.0,DirectX 12.1 / OpenGL 4.5,双DVI+HDMI+DP,6 PIN,90W,"['https://www.colorful.cn/Resource/2017/05/201705111359464596.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111359473332.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111359479572.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111359485500.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111359460384.JPG']",N,5120x3200,4,N,Y,N,2048x1536,N
网驰GTX950-Twin-2GD5 V4,330,GeForce® GTX 950,网驰系列,GeForce GTX950,28纳米,768,,,6610MHz,2048M,GDDR5,128 bit,PCI-E X16 3.0,DirectX 12.1 / OpenGL 4.5,双DVI+HDMI+DP,,90w,"['https://www.colorful.cn/Resource/2016/05/201605191651392553.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191651403941.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191651408153.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191651413613.JPG', 'https://www.colorful.cn/Resource/2016/05/201605191651385533.JPG']",是,5120x3200,4,否,是,否,2048x1536,否
