产品名称,CPU,CPU型号,CPU主频,最高睿频,操作系统,屏幕尺寸,物理分辨率,屏幕类型,内存容量,内存类型,内存频率,硬盘类型,硬盘容量,显卡类型,显示芯片,显存容量,显存类型,光驱类型,USB3.0,USB2.0,视频接口,音频接口,读卡器,type-c 接口,无线网卡,摄像头,键盘描述,尺寸,预装软件,图片列表,电池,重量,蓝牙,电源适配器,颜色,核心数,显示比例,RJ45(以太网口),杜比音效,扬声器,麦克风,指取设备,型号,USB3.1,其他接口,JBL音响,接口类型,硬盘转速,三级缓存,ThunderBolt 3.0,有线网卡,指纹识别,保修政策,质保时间,质保备注,内存插槽数量,外壳材质A面,摄像头像素,触控屏,增值服务,续航时间,外壳材质D面,内存最大支持容量
小新 Air 15 15.6英寸超轻薄笔记本 黑色 81GY0008CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.8mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2018/04/16/dEvsyl2DJuPdL35Ttt3JuNzMz-6254.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/4QN54rK1vgJhyG58xZVYcLxSq-6254.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/tcC8TB3WNFu18yr9LxeNPcvmc-6250.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/s19QujSVl3MYOGXW9enP5ldtg-6627.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/p1gboPDeyL7rbq813KYcj5xYk-6640.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/TQlTGDMcK1olFBYOU2xVEAoxB-2108.w84.jpg']",45Wh,1.95Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拯救者 Y920-17IKB 17.3英寸游戏笔记本 黑色 80YX0005CD,第七代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-7820HK,2.9 GHz,3.9 GHz,Windows 10 家庭中文版,17.3英寸,1920x1080,全高清IPS屏幕,64GB,DDR4,,双SSD固态硬盘,双512GB,独立显卡, NVIDIA Geforce GTX 1070,8GB,GDDR5,无光驱,4个,,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,425.4x315.2x 36.2mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2017/05/19/p8XzYAh6Tva8MjeU8UQvoH2k0-3916.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/05/19/jlZpqz27ZT0QEL13n0g74LHqg-0761.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/05/19/onGipDlVtwlJIRO2pIYSk08vJ-0782.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/05/19/ep3hZ4nC5O4qJAdb4eaTUejl1-4926.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/05/17/DbuitGqmKqn2yqrTK4pRGW69b-3186.w84.jpg']",90Whr,4.4Kg,,100-240V自适应交流电源适配器,,,,1个,,,,,,,,,,,,,,,,,,,,,,,,,
拯救者 R720-15IKBN 15.6英寸游戏笔记本 黑金 O2O_80WW000YCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ,2.5GHz,3.5GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,,机械硬盘+固态硬盘,1TB+128GB SSD,独立显卡,NVIDIA Geforce GTX 1050Ti,4GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,,,"['//p3.lefile.cn/product/adminweb/2017/10/30/bdi0yNVSO1QegEFa9cv0s0Ejz-4960.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/10/30/U3fvn2T4rkjEniRfOOyL1jOh2-5072.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/30/LVtaek2KkyW5ZmpQ6SbfOGPBG-5033.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/30/Gtpv5Svm9xEilGtIks1YgUmuP-5444.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/10/30/wQgTYFpl5cKMNAor91oZU8rhW-5569.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/12/12/BYxlKPmOJmpe4JqdcSuPx8JaD-2738.w84.jpg']",,,,100-240V自适应交流电源适配器,,四核,16:9,1个,杜比先进音频,,,,,,,,,,,,,,,,,,,,,,,,
拯救者 E520-15IKB 15.6英寸游戏笔记本 黑色 O2O_80WA0008CD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ,2.5 GHz,3.5 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,,机械硬盘,1TB,独立显卡,NVIDIA Geforce GTX 1050,2GB,DDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,4合1读卡器,,有,720p HD 摄像头,,384x265x22.7mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2017/09/13/YuUgj0dW7O5NTOixpxW2Re9Po-8743.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/09/13/dOh9XSBfvIKNfErnQXM9deYjR-8801.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/09/13/UpccgN4u6AhbDLo0iZasLFoAy-5985.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/09/13/EarWrvDDBwnPnb2JRPwMe01mw-6006.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/09/13/DJTYNiYqQQz2lAIPQQWMODQk7-6008.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/09/13/duVgSTNEUmJwAJ3HRw42o7iOq-2683.w84.jpg']",45Wh,2.3kg,,,,,,1个,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 灰色 81GX0006CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/16/0asd4vCDUMMsIVDUZlZGJZ6Cg-7975.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/XxLHIq458h22DDTYajrVgtR5d-6408.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/IA75DM9AwmYzHvaAKvEXbHbuM-8024.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/WaEHyRRfDDfZn8nHV0UH2G6UW-8275.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/YWBZTjzEw0eb8jFk2seNBZFMC-8400.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/AnEnOeo9uLmWFwhm77ShSONDY-3282.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 金色 81GX0009CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2018/04/16/NAhcqFBCQ0xbf6juBevFiZPWQ-1844.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/5ec2Y6kvYUXBNtfXtHCklJXfx-1908.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/18nQEhI6y0607MRaGqrBupR5f-1889.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/1sBvPMyn95KmiODuymgnGPWYf-2295.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/EkHCjRe2YsJ19y4yltV1WxLt1-2292.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/opNcfbt1FbsGJZInwm1hKu7FO-0225.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 金色 81GX0005CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/16/0m2a8EgXFLiPwYlMK5Nx4Qwqo-4306.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/qJrQ2J4GfkBjAb1HsY8Wm13jG-4308.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/3pX2DWgfcZh9EJEzMkhSjqIha-4337.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/Jrf4ceoIBFLTdNjVZnxeTV9bo-4576.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/m6AMYhxaKmtw2VsN1W36FaRhW-4775.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/10/Ch557492gdH1DYWo0sOAMOQWg-9279.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 15 15.6英寸超轻薄笔记本 黑色 81GY0006CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.8mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/16/3dkmoZGkKOoVYr0B46nujTUrz-2992.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/VGqEVqSohn55Z8HixGGafavtc-3016.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/ngcdBbcgljFoIGr84HRAxDoZz-3013.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/SlKSvpwV4G7WivKBIDiHzonKz-3438.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/pgSHGzCrSjNKJwzi7RHsaTXCw-3434.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/10/C0HCBjaZYwM9VLksAm0NCRM6F-3703.w84.jpg']",45Wh,1.95Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拯救者 R720-15IKBN 15.6英寸游戏笔记本 黑色 O2O_80WW000SCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ,2.50Hz,3.50Hz,Windows 10 家庭中文版,15.6英寸,1920x1080,FHD全高清屏幕,8GB,DDR4,,机械硬盘,1TB,独立显卡,NVIDIA Geforce GTX 1050,2GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,厚度25.8mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2017/07/30/38tFxMkBSoW7J4V7ZkaN5mAM4-8576.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/02/04/dwVdF8eVYapKJOv3EyQoddcFF-7858.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/07/30/nC3yus9RdiislydgvsKKlO1kb-8717.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/02/04/6XwXnpLrHwYeAOpnK2jhiIFWK-9019.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/07/30/xKmgVwLWPpPP4RlAz9EEUViQt-9072.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/02/04/DkTYctsNEsufdKzdUP1jxWrPt-8770.w84.jpg']",,2.4kg (具体重量依据产品出货配置为准),,100-240V自适应交流电源适配器,,四核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,触摸板,Lenovo Rescuer R720-15IKB,,,,,,,,,,,,,,,,,,,,
小新 Air 15 15.6英寸超轻薄笔记本 金色 81GY0004CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.8mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/04/11/gFDxER2h4gG8vnwTtdoaa0GgV-0547.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/11/n6CITEXjC2S9vtc2ub2Z11bwa-0585.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/11/lz881furey722q2YmeUUyp2im-0972.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/11/zED40SfiiQpn2HaScuvMOgnza-0563.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/11/42xZ6r7WBusHzbxkx5lbCv6P7-0966.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/08/TQlTGDMcK1olFBYOU2xVEAoxB-2108.w84.jpg']",45Wh,1.95Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 黑色 81GX0008CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/16/DTKWNPlBzjWqlXjxb5P7aVLPJ-4663.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/SunGNLQcVgD8vr2M7UEffOOjS-4710.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/LXY2e1OsK0CEJyFyg1QaSWBzT-4732.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/ugJRkWWWXx6NCxBb7HNADKcnD-5025.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/SfavhE4ghfqTnV13WjrXqteCf-5047.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/opNcfbt1FbsGJZInwm1hKu7FO-0225.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新锐7000 15.6英寸游戏笔记本 黑色 80WB0000CD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ,2.5 GHz,3.5 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,全高清IPS屏幕,4GB,DDR4,,机械硬盘+固态硬盘,1TB+128GB SSD,独立显卡,NVIDIA Geforce GTX 1050,2GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,4合1读卡器,,有,720p HD 摄像头,,384x265x22.7mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/03/22/7zw03hn4PnVIZOTNS6tWzsTWc-9486.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/05/09/nxmuVLk4E2WDSqtpCwt1UAQBX-9156.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/05/09/eHQHMRhyRkY8Nh3NP4B0AF2fV-9204.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/05/09/qeRBRalq1zb66YoFk4zAvdcj6-9600.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/05/09/AA5olv7k0QMugl6dLNEl6RmxP-9633.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/05/09/mbmiwgkMmQgUKbK1uzFTls6IF-1096.w84.jpg']",45Wh,2.3kg,BT4.1,100-240V自适应交流电源适配器,,,16:9,1个,,,有,,,,,,SATA 串行, 5400rpm,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 黑色 81GX0007CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/04/16/8mf9ic1lYnvEwFtAkWOFHV7nh-1943.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/zbAm1Ehxh4LxD1wXGov4fuEgd-1993.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/Mx4NPjqxirpaLINenJsyP4x0O-1976.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/MRIUEwgvu5n3FyLb1Mh6XnOQO-2291.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/TmDnVopn8YdYVrvJpewOzyW38-2374.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/0QvTrGBTWpYNiSZ1nIxIndmib-6277.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮5000 15.6英寸笔记本 银色 O2O_80Y30000CD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7200U,2.5 GHz,3.1 Ghz,Windows 10 家庭中文版,15.6英寸,1920x1080,,4GB,DDR4,2133MHz,机械硬盘+固态硬盘,1TB+128GB SSD,独立显卡, AMD Radeon™ 530,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,有,,,378x260x22.9mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2017/05/10/q5VDGyBGQLny9Hsx9CInvjHd9-0558.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/05/10/n8lEi5V59J301nAuKyucqKrPT-1010.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/05/10/MdjeIXksGxu4fVqKHaPPmQF1P-0546.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/05/10/IquChK8MdR2koMgiYRsA2JKUv-1022.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/05/10/4TbpfWzbLBSYRgK12Eq1cFsq6-2464.w84.jpg']",30Wh,2.2Kg,BT4.1,,,,,1个,,,,,,,,,SATA 串行,,,,,,,,,,,,,,,,
测试新建商品请勿下单guoyu,第七代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-7700HQ,,,Windows 10 家庭版,15.6英寸,,,8GB,DDR4,2400Mhz,SSD固态硬盘,128GB,集成显卡,,,,无光驱,有,1个,,,4合1读卡器,,,,,,,"['//p2.lefile.cn/product/adminweb/2018/06/02/F8ZazPJkUElHEmPYomsbjuEkG-8827.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/06/07/8v9o3irNtAurMGjuDiy13kob6-6236.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/06/07/AweIRogcQKsgc6KmUJpbF07FK-9613.w84.jpg']",48.0Whr,,,100-240V自适应交流电源适配器,,,16:9,,杜比先进音频,,,,,3个,,,,,,,,,,,,,,,,,,,
小新 Air 15 15.6英寸超轻薄笔记本 星河银 O2O_81GY000ACD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.8mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/04/08/T7D6ZXv1VKWN0nWtIt2rCJ4ke-7848.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/08/TQlTGDMcK1olFBYOU2xVEAoxB-2108.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/4dgkgmP0w3lrWfCZ0WeSh1e9N-8353.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/08/58eXWdbylrrbDsV7kgEV741tp-7870.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/08/7OvE4qK2WTncEsHcZnYbqf03E-7892.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/08/ABQjZqAFLTRGh51qnMrNTluxm-8341.w84.jpg']",45Wh,1.95Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 湖光蓝 81GX000ACD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/04/16/3GlzxSrqkQd3nX1ymR9sa9dLu-8985.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/16/d1y8pmwOnEoQm9p4aFopzDeCP-9033.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/16/OP32yC1Gg3hY7hjmGx5AdnYP6-9033.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/16/jRM0PxnTobJBoeA4S6e1RMDxe-9385.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/16/TjmrCT6s9lvBIAL59UtlaRr6r-9438.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/opNcfbt1FbsGJZInwm1hKu7FO-0225.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 Air 14 14.0英寸超轻薄笔记本 星河银 O2O_81GX000BCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度16.4mm,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2018/04/17/KzqnMRJMWn2ZsPBtF34a77lPz-2377.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/17/ORINHrjoBSFNtuK4qpOPY0O7y-3121.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/17/HDpAGIsQPswm9IKgi2Qy5SQGk-2415.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/17/OH7t2KDpW6v76xe4RSiu8i8P0-2810.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/17/8EDekzBhnkLAnccoMg51rwvlh-2835.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/opNcfbt1FbsGJZInwm1hKu7FO-0225.w84.jpg']",45Wh,1.59Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkPad T480 笔记本电脑 20L5001YCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6GHz,3.4GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),14.0英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘+固态硬盘,1TB+128GB SSD,独立显卡,NVIDIA GeForce MX150,2GB,DDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,1个,Intel 8265AC,720p HD 摄像头,全尺寸键盘,,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/06/05/jSfB5826HWU1L2KilWJ4wjwq0-4554.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/02/28/6f3KyYR65klc0yUKes34SZ0W1-9027.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/02/28/g7FsOaqQ2pUo65oZJASsukVSz-7662.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/02/28/apgA3MmzAI0boVTZiS0weEtgd-8713.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/02/28/cFcYU94Qpd1KEKOggETmbgUEm-0499.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/02/28/PTnLoIyZk4ql72ER1HbTUlEES-4019.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/03/01/hCzn1jgId6WfezwVPjFb2en0k-2611.w84.jpg']",内置24Whr+后置24Whr,,BT4.1,,,,16:9,1个,,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,扩展坞（CS18）接口,,SATA 串行, 5400rpm,6MB,1个,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,,,,,,,,
